Enzyme,Solvent,Concentration,Activity_mean,Activity_std,Temperature
OYE1,MeOH,25,0.021,0.007,45
OYE1,MeOH,30,0.004,0.008,45
OYE1,MeOH,35,0.003,0.005,45
OYE1,MeOH,40,0.008,0.014,45
OYE1,MeOH,45,-0.002,0.013,45
OYE1,EtOH,0,0.331,0.176,40
OYE1,EtOH,0.1,0.086,0.019,40
OYE1,EtOH,0.2,0.037,0.004,40
OYE1,EtOH,5,0.343,0.080,40
OYE1,EtOH,10,0.214,0.123,40
OYE1,EtOH,15,0.086,0.050,40
OYE1,EtOH,20,0.020,0.002,40
OYE1,EtOH,25,0.014,0.013,40
OYE1,EtOH,30,0.013,0.011,40
OYE1,EtOH,35,0.013,0.009,40
OYE1,EtOH,40,0.013,0.008,40
OYE1,EtOH,45,0.010,0.021,40
OYE1,MeOH,0,0.226,0.061,40
OYE1,MeOH,0.1,0.033,0.019,40
OYE1,MeOH,0.2,0.037,0.004,40
OYE1,MeOH,5,0.252,0.070,40
OYE1,MeOH,10,0.169,0.072,40
OYE1,MeOH,15,0.095,0.069,40
OYE1,MeOH,20,0.019,0.043,40
OYE1,MeOH,25,0.015,0.013,40
OYE1,MeOH,30,0.015,0.006,40
OYE1,MeOH,35,-0.001,0.000,40
OYE1,MeOH,40,0.007,0.006,40
OYE1,MeOH,45,0.005,0.006,40
NCR,EtOH,0,0.653,0.024,35
NCR,EtOH,0.1,0.088,0.027,35
NCR,EtOH,0.2,0.051,0.015,35
NCR,EtOH,5,0.568,0.024,35
NCR,EtOH,10,0.476,0.026,35
NCR,EtOH,15,0.304,0.046,35
NCR,EtOH,20,0.116,0.037,35
NCR,EtOH,25,0.064,0.022,35
NCR,EtOH,30,0.016,0.006,35
NCR,EtOH,35,0.026,0.010,35
NCR,EtOH,40,0.049,0.022,35
NCR,EtOH,45,0.087,0.041,35
NCR,MeOH,0,0.611,0.042,35
NCR,MeOH,0.1,0.025,0.037,35
NCR,MeOH,0.2,0.043,0.009,35
NCR,MeOH,5,0.591,0.013,35
NCR,MeOH,10,0.478,0.060,35
NCR,MeOH,15,0.411,0.034,35
NCR,MeOH,20,0.279,0.017,35
NCR,MeOH,25,0.150,0.028,35
NCR,MeOH,30,0.016,0.038,35
NCR,MeOH,35,0.006,0.009,35
NCR,MeOH,40,-0.003,0.015,35
NCR,MeOH,45,0.016,0.005,35
NCR,EtOH,0,0.582,0.068,30
NCR,EtOH,0.1,0.068,0.040,30
NCR,EtOH,0.2,0.031,0.004,30
NCR,EtOH,5,0.527,0.014,30
NCR,EtOH,10,0.406,0.019,30
NCR,EtOH,15,0.309,0.011,30
NCR,EtOH,20,0.205,0.007,30
NCR,EtOH,25,0.119,0.012,30
NCR,EtOH,30,0.052,0.022,30
NCR,EtOH,35,0.026,0.008,30
NCR,EtOH,40,-0.007,0.007,30
NCR,EtOH,45,-0.001,0.006,30
NCR,MeOH,0,0.616,0.168,30
NCR,MeOH,0.1,0.008,0.056,30
NCR,MeOH,0.2,0.038,0.011,30
NCR,MeOH,5,0.582,0.083,30
NCR,MeOH,10,0.492,0.045,30
NCR,MeOH,15,0.409,0.037,30
NCR,MeOH,20,0.307,0.054,30
NCR,MeOH,25,0.242,0.040,30
NCR,MeOH,30,0.132,0.052,30
NCR,MeOH,35,0.045,0.037,30
NCR,MeOH,40,0.030,0.011,30
NCR,MeOH,45,0.050,0.009,30
NCR,EtOH,0,0.453,0.056,25
NCR,EtOH,0.1,0.023,0.012,25
NCR,EtOH,0.2,0.022,0.009,25
NCR,EtOH,5,0.438,0.012,25
NCR,EtOH,10,0.369,0.030,25
NCR,EtOH,15,0.291,0.002,25
NCR,EtOH,20,0.203,0.006,25
NCR,EtOH,25,0.112,0.009,25
NCR,EtOH,30,0.086,0.069,25
NCR,EtOH,35,0.044,0.005,25
NCR,EtOH,40,0.019,0.020,25
NCR,EtOH,45,-0.013,0.043,25
NCR,MeOH,0,0.458,0.033,25
NCR,MeOH,0.1,0.039,0.015,25
NCR,MeOH,0.2,0.028,0.007,25
NCR,MeOH,5,0.472,0.021,25
NCR,MeOH,10,0.455,0.019,25
NCR,MeOH,15,0.377,0.022,25
NCR,MeOH,20,0.317,0.019,25
NCR,MeOH,25,0.223,0.010,25
NCR,MeOH,30,0.160,0.024,25
NCR,MeOH,35,0.072,0.007,25
NCR,MeOH,40,0.038,0.010,25
NCR,MeOH,45,0.010,0.014,25
NCR,EtOH,0,0.117,0.042,45
NCR,EtOH,0.1,0.018,0.049,45
NCR,EtOH,0.2,0.099,0.003,45
NCR,EtOH,5,0.041,0.031,45
NCR,EtOH,10,0.143,0.097,45
NCR,EtOH,15,0.029,0.031,45
NCR,EtOH,20,0.012,0.011,45
NCR,EtOH,25,0.065,0.011,45
NCR,EtOH,30,0.023,0.022,45
NCR,EtOH,35,0.052,0.018,45
NCR,EtOH,40,0.084,0.051,45
NCR,EtOH,45,0.031,0.025,45
NCR,MeOH,0,0.043,0.024,45
NCR,MeOH,0.1,-0.004,0.016,45
NCR,MeOH,0.2,0.111,0.005,45
NCR,MeOH,5,0.036,0.046,45
NCR,MeOH,10,-0.016,0.140,45
NCR,MeOH,15,0.042,0.027,45
NCR,MeOH,20,-0.053,0.038,45
NCR,MeOH,25,0.001,0.044,45
NCR,MeOH,30,0.011,0.045,45
NCR,MeOH,35,0.035,0.003,45
NCR,MeOH,40,0.041,0.003,45
NCR,MeOH,45,0.030,0.020,45
NCR,EtOH,0,0.410,0.046,40
NCR,EtOH,0.1,0.030,0.030,40
NCR,EtOH,0.2,0.080,0.005,40
NCR,EtOH,5,0.326,0.036,40
NCR,EtOH,10,0.189,0.050,40
NCR,EtOH,15,0.069,0.035,40
NCR,EtOH,20,0.022,0.011,40
NCR,EtOH,25,0.021,0.017,40
NCR,EtOH,30,0.019,0.015,40
NCR,EtOH,35,0.026,0.014,40
NCR,EtOH,40,0.022,0.012,40
NCR,EtOH,45,0.047,0.007,40
NCR,MeOH,0,0.428,0.143,40
NCR,MeOH,0.1,0.053,0.041,40
NCR,MeOH,0.2,0.074,0.007,40
NCR,MeOH,5,0.335,0.093,40
NCR,MeOH,10,0.232,0.035,40
NCR,MeOH,15,0.142,0.030,40
NCR,MeOH,20,0.034,0.044,40
NCR,MeOH,25,-0.036,0.012,40
NCR,MeOH,30,0.015,0.030,40
NCR,MeOH,35,0.005,0.008,40
NCR,MeOH,40,0.011,0.008,40
NCR,MeOH,45,0.033,0.020,40
